Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,MagX,MagY,MagZ,Tag
10224,-0.02783203,1.002441,-0.01416016,-1.525879,-1.098633,-1.037598,89.32983,1.741333,116.6583,16.95,-0.125,-0.025,1
10414,-0.03222656,0.9912109,-0.01269531,0.6713867,0.6103516,0.6103516,89.41223,1.812744,116.6418,17.225,-0.2583333,0.1083333,1
10624,-0.01953125,1.003906,-0.017089840000000002,-1.586914,-2.563477,0.3051758,89.46167,1.642456,116.3452,16.90833,-0.2166667,-0.09166667,1
10844,-0.02734375,0.9868163999999999,-0.01171875,0.0,0.06103516,-0.4882813,89.46167,1.7028809999999999,116.51,18.16667,-37.40833,0.3333333,1
11074,-0.02392578,0.9892578,-0.00390625,0.24414059999999999,-0.42724609999999996,-0.3051758,89.39575,1.669922,116.2628,17.14167,-0.3416667,0.025,1
11324,-0.04003906,1.003418,-0.01953125,0.8544921999999999,1.220703,0.4882813,89.45068,1.658936,116.2354,18.13333,-37.775,0.3333333,1
11574,-0.02294922,1.006836,-0.015136720000000001,-0.3051758,1.525879,0.24414059999999999,89.41223,1.549072,116.2408,17.1,-0.2916667,-0.04166667,1
11844,-0.024902340000000002,1.002441,-0.01269531,-0.5493163999999999,0.0,0.6713867,89.26941,1.477661,116.3397,17.13333,-0.09166667,-0.1166667,1
12054,-0.02587891,1.010254,-0.009277344,-0.12207029999999999,-0.4882813,1.281738,89.20349,1.3623049999999999,115.8893,17.15833,-0.275,0.1416667,1
12274,-0.008789063,0.996582,-0.004394531,-0.24414059999999999,-1.403809,0.1831055,89.198,1.219482,115.8618,17.1,-0.2,0.0,1
12554,-0.01757813,1.00293,-0.015136720000000001,0.06103516,-0.12207029999999999,0.06103516,89.198,1.2854,116.0266,17.85833,-37.84167,0.1,1
12814,-0.01611328,1.003906,-0.01269531,-0.06103516,-0.4882813,0.0,89.10461,1.312866,115.6531,17.05833,-0.15833329999999998,0.05,1
13084,-0.01367188,1.005371,-0.01220703,0.9155272999999999,1.525879,-0.3662109,89.22546,1.3623049999999999,115.9442,17.175,-0.275,0.06666667,1
13364,-0.011230470000000001,1.006836,-0.009277344,-0.4882813,-2.990723,-0.793457,89.14307,1.472168,115.7025,17.90833,-37.94167,0.1083333,1
13664,0.002929688,1.012695,-0.02294922,0.42724609999999996,-0.4882813,0.6103516,89.26392,1.444702,115.6201,16.96667,0.1083333,-0.1083333,1
13924,-0.009277344,1.008301,-0.01464844,2.319336,1.953125,-1.220703,89.46716,1.4556879999999999,115.5707,17.0,-0.2666667,0.08333334,1
14224,-0.015136720000000001,0.9995117,-0.02148438,0.9155272999999999,-2.868652,-0.7324219,89.6759,1.604004,115.6036,17.01667,-0.1833333,0.2166667,1
14474,-0.04003906,0.9838867,-0.02197266,-0.8544921999999999,2.990723,0.7324219,89.89563,1.6149900000000001,115.8673,17.975,-37.54167,0.675,1
14744,-0.03271484,0.9707030999999999,-0.020996090000000002,-0.8544921999999999,-3.78418,1.403809,89.87366,1.5325929999999999,115.6421,16.675,-0.3083333,0.0,1
14954,-0.011230470000000001,0.9780272999999999,-0.02001953,-1.159668,0.0,0.4882813,89.97803,1.63147,115.5652,18.15833,-37.675,0.8333332999999999,1
15194,-0.056640630000000004,1.008301,-0.0234375,1.89209,2.380371,-0.8544921999999999,89.96704,1.6479489999999999,114.9445,17.08333,-0.40833329999999995,0.1833333,1
15464,-0.02197266,1.001953,-0.028808590000000002,-0.9155272999999999,-0.6103516,0.9765625,90.1593,1.763306,115.1752,17.05,-0.44166669999999997,-0.05833333,1
15684,-0.01855469,1.002441,-0.02587891,0.24414059999999999,-1.220703,-0.12207029999999999,90.10437,1.576538,115.0104,16.99167,-0.5416667,0.025,1
15894,-0.009765625,1.001953,-0.02539063,-0.4882813,0.12207029999999999,-0.06103516,90.02747,1.516113,114.9005,18.08333,-37.325,0.625,1
16170,0.001953125,1.00293,-0.02050781,-0.7324219,0.24414059999999999,0.12207029999999999,89.81323,1.483154,114.8621,18.05,-37.61666,0.6000000000000001,1
16454,-0.02148438,0.9931641,-0.03173828,-0.06103516,2.258301,-0.6103516,89.73633,1.5271000000000001,115.2356,17.0,-0.24166669999999998,0.025,1
16694,-0.02539063,1.007813,-0.03076172,0.3662109,-0.3051758,0.24414059999999999,89.81873,1.538086,115.1202,18.14167,-37.63334,0.675,1
16994,-0.030273440000000002,1.000977,-0.02148438,0.24414059999999999,-0.793457,-0.06103516,89.81873,1.582031,115.1532,17.1,-0.44166669999999997,-0.04166667,1
17314,-0.01660156,0.9975586,-0.022460940000000002,0.24414059999999999,0.6713867,-0.06103516,89.7583,1.516113,115.0543,17.025,-0.4333333,0.03333333,1
17594,-0.01757813,0.9980469,-0.02392578,0.12207029999999999,0.12207029999999999,0.0,89.73633,1.494141,115.0159,17.83333,-37.5,0.8250000000000001,1
17894,-0.01611328,0.9975586,-0.02539063,0.06103516,0.0,0.0,89.6759,1.483154,114.9719,17.88333,-37.46667,0.7666666999999999,1
18174,-0.02001953,1.0,-0.02539063,0.0,0.0,0.0,89.75281,1.461182,114.9829,17.06667,-0.45,-0.008333334000000001,1
18414,-0.01855469,1.0,-0.02587891,0.0,0.0,0.0,89.85718,1.428223,114.9884,17.05,-0.4166667,-0.008333334000000001,1
18794,-0.01757813,1.002441,-0.02783203,0.06103516,0.0,0.0,90.02197,1.389771,114.9884,17.9,-37.33333,0.7333333,1
19044,-0.01904297,0.9951171999999999,-0.02148438,-0.793457,0.3662109,0.0,89.86267,1.378784,114.9884,17.06667,-0.3833333,0.0,1
19304,-0.01904297,0.9970703,-0.02001953,0.06103516,-0.06103516,0.0,89.86816,1.389771,114.9335,17.94167,-37.69167,0.775,1
19534,-0.01904297,1.000488,-0.0234375,0.12207029999999999,0.0,0.0,89.89014,1.395264,114.8676,17.04167,-0.44166669999999997,0.01666667,1
19784,-0.01855469,0.9990234,-0.024902340000000002,-0.12207029999999999,-0.06103516,0.0,89.79126,1.40625,114.8126,17.95833,-37.81667,0.8333332999999999,1
20024,-0.01953125,1.000977,-0.02294922,-0.06103516,0.12207029999999999,0.0,89.70337,1.40625,114.7742,17.05833,-0.35833329999999997,-0.025,1
20304,-0.02001953,0.9990234,-0.020996090000000002,0.4882813,0.12207029999999999,0.0,89.76379,1.389771,114.7797,17.075,-0.4666667,-0.075,1
21504,-0.01416016,1.012695,0.004882813000000001,0.06103516,2.441406,-0.6713867,88.59375,1.713867,114.4556,17.23333,-0.01666667,-0.01666667,1
21714,-0.02685547,1.002441,0.008789063,-0.42724609999999996,-0.3051758,-0.24414059999999999,88.51135,1.7028809999999999,114.5215,17.2,-0.09166667,-0.2666667,1
21944,-0.02392578,1.000488,0.0,1.342773,1.159668,0.06103516,88.24768,1.697388,114.3292,18.1,-38.11666,-0.55,1
22214,-0.022460940000000002,1.00293,-0.004882813000000001,1.403809,0.0,0.0,88.57178,1.6479489999999999,114.3787,18.09167,-37.90833,-0.15833329999999998,1
22504,-0.03271484,1.004395,-0.01074219,0.5493163999999999,0.8544921999999999,0.6103516,88.77502,1.653442,114.4171,17.15,-0.2083333,0.04166667,1
22754,-0.02050781,1.000977,-0.009765625,2.197266,-1.708984,1.586914,89.02222,1.318359,114.2249,17.81667,-37.975,0.2,1
23024,-0.01953125,1.032227,-0.01611328,-5.126953,-1.8310549999999999,-7.446289,87.7533,1.219482,114.3622,17.85,-39.24166,-0.7333333,1
23334,-0.02783203,0.9794921999999999,0.04833984,-4.150391,-2.319336,-2.258301,86.51733,1.801758,113.9612,16.96667,0.6416666999999999,-0.1416667,1
23574,-0.02050781,0.9799804999999999,0.05957031,2.990723,2.197266,-0.3662109,85.979,2.109375,114.0216,16.96667,0.6000000000000001,1.025,1
23884,-0.0234375,1.005371,-0.011230470000000001,8.605957,0.4882813,1.6479489999999999,87.91809,1.851196,114.3567,17.075,-0.45,0.8250000000000001,1
24114,-0.01806641,1.007324,-0.03271484,5.004883,-0.5493163999999999,3.78418,89.15955,1.2854,114.4775,17.075,-0.6583333,0.55,1
24344,-0.002441406,1.001465,-0.052734380000000004,3.417969,-0.06103516,0.42724609999999996,90.33508,0.6976317999999999,114.0985,17.36667,-37.43333,2.1,1
24574,-0.009765625,1.0,-0.06640625,0.4882813,0.4882813,-0.12207029999999999,90.57129,0.6591796999999999,114.0765,17.11667,-1.083333,-0.15,1
24824,-0.001464844,0.9985352,-0.05761719,0.1831055,0.3051758,-0.06103516,90.52185,0.6756592,114.0271,17.44167,-37.31667,2.333333,1
25064,-0.0078125,1.0,-0.05908203,0.06103516,0.0,-0.12207029999999999,90.62073,0.7141113,114.0436,17.05,-1.016667,0.0,1
25334,-0.002929688,0.9956054999999999,-0.05859375,0.06103516,0.0,0.5493163999999999,90.62622,0.6756592,114.0051,17.11667,-1.075,-0.01666667,1
25554,-0.007324219000000001,0.9960937999999999,-0.05566406,0.3662109,0.8544921999999999,0.0,90.7251,0.6152344,114.0765,17.00833,-1.033333,0.0,1
25764,-0.004394531,0.9956054999999999,-0.05810547,-0.12207029999999999,0.06103516,-0.06103516,90.85693,0.6207275,114.082,17.35833,-37.30833,2.566667,1
26004,-0.001953125,0.9980469,-0.05761719,0.24414059999999999,0.12207029999999999,0.0,90.98328,0.5987549,114.126,17.025,-1.058333,-0.05,1
26254,-0.005859375,0.996582,-0.05859375,-0.06103516,0.06103516,0.0,91.10413,0.5712891,114.1754,17.025,-0.975,-0.01666667,1
26564,-0.005859375,0.9980469,-0.05712891,-0.1831055,0.06103516,0.0,91.24695,0.5493163999999999,114.1754,17.33333,-37.31667,2.366667,1
26864,-0.006347656,0.9960937999999999,-0.052734380000000004,-0.4882813,-0.5493163999999999,0.0,91.26343,0.5438232,114.1974,17.0,-0.9,-0.01666667,1
27184,-0.006835938000000001,0.9980469,-0.05371094,-0.06103516,0.12207029999999999,0.0,91.40076,0.5273438,114.1974,17.05833,-0.9166667,-0.008333334000000001,1
